id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
11160395,58042026,Filiz,Mitte,Osloer Straße,52.552998,13.383564,Private room,20.000000,1,0,1,0
11412326,59917656,Lena,Mitte,Parkviertel,52.551453,13.347389,Private room,20.000000,1,0,1,0
11417219,8325755,Dennis,Mitte,Wedding Zentrum,52.549461,13.368559,Private room,20.000000,1,0,1,0
11455304,57226171,Benjamin,Treptow - Köpenick,Oberschöneweide,52.466827,13.509797,Private room,20.000000,1,1,1,0
11491917,27774120,Carl,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.511059,13.458938,Private room,20.000000,1,0,1,0
11539739,16410152,Fırat,Charlottenburg-Wilm.,Kantstraße,52.510784,13.307474,Private room,20.000000,1,0,1,0
11565633,26698749,Manuela,Neukölln,Neuköllner Mitte/Zentrum,52.472389,13.429166,Private room,20.000000,1,3,2,0
11568655,47315556,Laura,Mitte,Wedding Zentrum,52.552044,13.357264,Private room,20.000000,1,2,1,0
11643471,35294550,Laura,Tempelhof - Schöneberg,Schöneberg-Nord,52.494099,13.350237,Private room,20.000000,3,0,3,0
11695133,3782402,Mare,Treptow - Köpenick,Alt  Treptow,52.493645,13.446693,Private room,20.000000,1,3,1,0
11996569,64028170,Leia,Neukölln,Köllnische Heide,52.467716,13.465713,Private room,20.000000,2,101,3,334
12167189,4244781,Gonso,Mitte,Wedding Zentrum,52.547623,13.365267,Private room,20.000000,1,0,1,0
12350990,866270,Laura,Mitte,Brunnenstr. Süd,52.530865,13.390938,Private room,20.000000,14,1,1,0
12832965,12351621,Nanuk,Mitte,Moabit West,52.527393,13.334606,Private room,20.000000,3,5,3,0
12892912,39091371,Julia,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.514839,13.443295,Private room,20.000000,1,38,1,0
12970291,68846988,Jenny,Neukölln,Schillerpromenade,52.473812,13.424307,Private room,20.000000,5,27,2,4
13231272,24470743,Michelle,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.515629,13.463708,Private room,20.000000,1,1,2,0
13324099,11187593,Sabina,Mitte,Wedding Zentrum,52.552372,13.357753,Private room,20.000000,2,10,1,0
13537098,77859450,Yasemin,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509594,13.465856,Private room,20.000000,3,0,1,0
13637622,59370484,Samanta,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.507599,13.468128,Private room,20.000000,7,0,1,0
13687805,36035026,Andrea,Mitte,Wedding Zentrum,52.547901,13.359065,Private room,20.000000,13,0,1,0
13693274,18868048,Malek,Lichtenberg,Neu Lichtenberg,52.503407,13.479228,Private room,20.000000,2,1,2,0
13749552,67755967,Leonie,Neukölln,Schillerpromenade,52.479694,13.424719,Private room,20.000000,4,16,1,0
13768140,80768604,Lara,Mitte,Wedding Zentrum,52.542023,13.362099,Private room,20.000000,1,1,1,0
13794808,81081297,Joa,Mitte,Parkviertel,52.551495,13.345335,Private room,20.000000,1,0,1,0
13846653,6657058,Gianluca,Treptow - Köpenick,Oberschöneweide,52.460526,13.525336,Private room,20.000000,2,9,1,0
13851017,81800175,Ingeborg,Neukölln,Britz,52.459267,13.434816,Private room,20.000000,3,4,1,0
